item_id,headword,frame,block,position,t0,t1,dur,peak_dbfs,rms_dbfs,snr_db,clipped,f0_med,f0_min,f0_max,f0_peak_pos,f0_centroid,voiced_frac
13,béo·ò,C,5,18,612.49,613.02,0.53,-17.8,-34.2,40.3,0,97.1,79.5,100.8,0.791,0.591,0.36
14,twıítò,C,1,19,109.18,109.93,0.75,-10.3,-27.0,47.7,0,82.0,76.0,102.8,0.008,0.343,0.55
14,twıítò,C,2,6,183.65,184.56,0.91,-13.8,-29.8,44.2,0,84.5,70.1,101.9,0.0,0.369,0.47
14,twıítò,C,3,16,363.24,363.95,0.71,-11.1,-29.6,47.0,0,92.2,79.9,102.6,0.0,0.367,0.51
14,twıítò,C,4,23,534.39,535.02,0.63,-10.3,-28.9,47.8,0,83.0,70.1,93.0,0.355,0.561,0.31
14,twıítò,C,5,20,619.38,620.13,0.75,-15.3,-33.4,42.8,0,92.4,82.0,108.5,0.585,0.495,0.36
15,emmáwwè,D,1,18,104.23,104.95,0.72,-12.5,-29.9,45.6,0,88.3,83.5,103.9,0.0,0.378,0.41
15,emmáwwè,D,2,14,219.42,220.05,0.63,-16.9,-33.8,41.2,0,99.5,75.2,102.0,0.229,0.335,0.31
15,emmáwwè,D,3,23,408.95,409.74,0.79,-14.1,-31.2,43.9,0,83.6,78.2,100.0,0.029,0.336,0.4
15,emmáwwè,D,4,7,451.21,451.9,0.69,-16.8,-34.0,41.3,0,80.5,70.1,105.5,0.01,0.427,0.55
15,emmáwwè,D,5,11,585.82,586.44,0.62,-15.0,-32.9,43.0,0,88.5,77.2,114.6,0.01,0.292,0.45
16,benıîä,D,1,4,30.51,31.12,0.61,-15.5,-32.0,42.5,0,77.8,74.5,98.9,0.146,0.317,0.51
16,benıîä,D,2,1,162.3,163.13,0.83,-11.7,-31.1,46.4,0,85.8,80.1,127.9,0.139,0.343,0.28
16,benıîä,D,3,21,401.89,402.94,1.05,-15.0,-35.7,43.1,0,84.1,70.1,104.2,0.77,0.642,0.36
16,benıîä,D,4,8,454.56,455.25,0.69,-15.2,-34.8,42.9,0,79.9,70.1,100.3,0.529,0.376,0.31
16,benıîä,D,5,10,582.02,582.66,0.64,-17.3,-34.9,40.8,0,82.8,73.6,108.9,0.009,0.362,0.36
17,ossıî,D,1,10,60.82,61.61,0.79,-13.3,-29.2,44.8,0,83.9,76.0,95.4,0.517,0.404,0.6
17,ossıî,D,2,3,171.09,171.87,0.78,-13.5,-31.1,44.6,0,86.7,76.3,101.9,0.0,0.334,0.6
17,ossıî,D,3,4,308.0,308.86,0.86,-12.8,-30.9,45.3,0,84.6,74.1,101.4,0.031,0.363,0.56
17,ossıî,D,4,4,440.68,441.43,0.75,-15.8,-33.7,42.2,0,86.0,79.6,92.8,0.607,0.449,0.51
17,ossıî,D,5,14,598.71,599.37,0.66,-12.3,-25.4,45.8,0,82.4,80.1,101.1,0.897,0.717,0.32
18,piquô,D,1,15,90.28,91.09,0.81,-11.3,-27.8,46.7,0,85.4,77.6,104.9,0.471,0.458,0.52
18,piquô,D,2,13,215.98,216.57,0.59,-13.1,-31.7,44.9,0,89.6,83.0,92.3,0.98,0.453,0.59
18,piquô,D,3,19,395.0,395.68,0.68,-13.9,-31.2,44.1,0,83.8,77.3,94.0,0.496,0.413,0.6
18,piquô,D,4,9,458.64,459.24,0.6,-12.5,-32.2,45.5,0,89.6,82.7,94.1,0.0,0.495,0.55
18,piquô,D,5,9,578.57,579.24,0.67,-19.7,-36.0,38.3,0,83.1,76.4,119.2,0.536,0.444,0.46
19,nobêt,D,1,20,113.08,113.89,0.81,-15.2,-31.6,42.9,0,84.1,80.8,90.1,0.0,0.445,0.6
19,nobêt,D,2,23,265.87,266.6,0.73,-14.0,-30.4,44.1,0,84.8,76.0,91.4,0.573,0.436,0.6
19,nobêt,D,3,9,331.69,332.44,0.75,-16.5,-32.0,41.5,0,82.9,78.8,91.3,0.536,0.502,0.6
19,nobêt,D,4,14,484.4,484.99,0.59,-19.1,-33.0,39.0,0,87.6,82.9,93.4,0.972,0.596,0.59
19,nobêt,D,5,4,557.79,558.38,0.59,-18.0,-34.1,40.0,0,79.8,75.9,94.6,0.706,0.592,0.59
20,rhiitsô,D,1,24,150.65,151.55,0.9,-8.9,-28.7,49.2,0,83.4,73.8,102.8,0.014,0.357,0.37
20,rhiitsô,D,3,6,314.8,315.09,0.29,0.0,-6.8,58.1,1122,82.9,77.5,86.4,0.4,0.458,0.55
20,rhiitsô,D,4,3,437.43,437.81,0.38,-8.5,-24.6,49.5,0,86.1,80.8,102.1,0.0,0.24,0.59
21,ŕe,E,1,12,69.96,70.51,0.55,-2.4,-17.6,55.7,0,87.3,82.3,95.3,0.647,0.525,0.6
21,ŕe,E,2,12,212.86,213.18,0.32,0.0,-9.1,58.1,771,93.6,81.3,96.2,0.073,0.361,0.58
21,ŕe,E,3,15,360.08,360.61,0.53,-7.9,-22.5,50.2,0,83.4,77.6,86.3,0.619,0.437,0.6
21,ŕe,E,4,11,472.43,473.06,0.63,-14.9,-28.5,43.1,0,83.1,77.1,93.0,0.051,0.307,0.6
21,ŕe,E,5,7,568.53,569.07,0.54,-14.5,-32.9,43.5,0,81.9,76.2,95.9,0.0,0.256,0.4
22,toś,E,2,10,205.05,205.45,0.4,0.0,-14.0,58.1,42,89.7,82.8,96.5,0.782,0.532,0.38
22,toś,E,3,7,318.32,319.06,0.74,-3.3,-18.6,54.7,0,81.8,71.7,98.6,0.525,0.408,0.42
22,toś,E,4,15,487.98,488.77,0.79,-15.4,-31.7,42.6,0,88.2,76.5,109.4,0.0,0.476,0.37
22,toś,E,5,3,555.13,555.73,0.6,-18.8,-32.7,39.3,0,80.1,75.7,97.6,0.667,0.605,0.43
23,e,E,1,17,99.12,99.33,0.21,0.0,-5.5,58.1,1536,87.4,85.4,89.2,0.143,0.339,0.43
23,e,E,2,22,262.67,263.17,0.5,-0.4,-14.9,57.6,0,83.2,81.4,90.2,0.0,0.351,0.51
23,e,E,3,5,311.78,312.2,0.42,-1.9,-16.3,56.2,0,83.1,77.5,85.5,0.746,0.561,0.4
23,e,E,4,16,490.97,491.73,0.76,-14.6,-28.4,43.4,0,83.1,76.7,94.0,0.541,0.467,0.58
23,e,E,5,2,552.33,552.9,0.57,-17.8,-31.6,40.3,0,81.9,77.4,103.2,0.646,0.489,0.52
24,ŕeut,E,1,22,138.37,138.58,0.21,0.0,-7.3,58.1,606,87.9,70.1,89.3,0.606,0.642,0.57
24,ŕeut,E,2,7,188.08,188.98,0.9,-13.2,-24.2,44.9,0,91.9,70.1,98.6,0.0,0.426,0.32
24,ŕeut,E,3,20,398.9,399.66,0.76,-3.8,-17.5,54.2,0,81.0,70.1,85.3,0.052,0.411,0.29
24,ŕeut,E,4,21,517.35,518.01,0.66,-14.7,-28.7,43.4,0,90.5,76.8,99.7,0.0,0.397,0.44
24,ŕeut,E,5,22,635.48,636.13,0.65,-11.5,-26.7,46.5,0,82.3,74.3,92.4,0.01,0.212,0.37
25,pot,E,2,8,192.28,192.49,0.21,-0.0,-9.9,58.1,311,85.8,70.4,95.3,0.586,0.567,0.6
25,pot,E,3,24,412.65,412.99,0.34,0.0,-11.4,58.1,297,84.2,79.4,93.4,0.911,0.626,0.33
25,pot,E,4,19,501.19,501.74,0.55,-10.6,-25.9,47.5,0,81.4,74.0,94.3,0.011,0.219,0.53
25,pot,E,5,24,641.83,643.17,1.34,-30.4,-38.5,27.7,0,70.1,70.1,70.1,0.0,0.5,0.05
