block,position,item_id,headword,frame,slate_t0,slate_t1,word_t0,word_t1,dur,peak_dbfs,clipped_samples,usable,note
1,23,12,béuksoè,C,140.610,141.040,142.810,143.480,0.670,-12.6,0,1,
1,24,20,rhiitsô,D,147.940,148.420,150.650,151.550,0.900,-8.9,0,1,
1,25,25,pot,E,152.990,153.830,155.140,155.400,0.260,0.0,841,1,
2,1,16,benıîä,D,159.750,160.870,162.300,163.130,0.830,-11.7,0,1,
2,2,2,ohô,A,164.010,164.920,167.280,167.780,0.500,-9.4,0,1,
2,3,17,ossıî,D,168.920,169.800,171.090,171.870,0.780,-13.5,0,1,
2,4,9,récquıìś,C,173.460,174.070,175.970,176.560,0.590,-12.9,0,1,
2,5,13,béo·ò,C,177.620,178.510,179.770,180.520,0.750,-14.2,0,1,
2,6,14,twıítò,C,181.470,182.350,183.650,184.560,0.910,-13.8,0,1,
2,7,24,ŕeut,E,185.400,186.170,188.080,188.980,0.900,-13.2,0,1,
2,8,25,pot,E,190.010,190.420,192.280,192.490,0.210,-0.0,311,1,
2,9,5,nóè,B,193.940,194.490,195.510,196.440,0.930,-10.0,0,1,
2,10,22,toś,E,200.800,202.710,205.050,205.450,0.400,0.0,42,1,slate 1.91s odd
2,11,11,béntsıìy,C,,,,,,,,0,unanchored: 0 utterances for 1 item(s)|anchor: no word utterance after slate
2,12,21,ŕe,E,206.690,210.750,212.860,213.180,0.320,0.0,771,1,slate 4.06s odd
2,13,18,piquô,D,214.090,214.630,215.980,216.570,0.590,-13.1,0,1,
2,14,15,emmáwwè,D,217.510,218.170,219.420,220.050,0.630,-16.9,0,1,
2,15,10,réıì,C,219.430,220.030,220.830,221.790,0.960,-8.6,0,1,
2,16,20,rhiitsô,D,234.250,234.820,237.350,238.000,0.650,-10.5,0,1,interpolated|trimmed 9->4
2,17,7,rérèyt,C,239.180,239.700,241.270,242.050,0.780,-11.4,0,1,interpolated|trimmed 9->4
2,18,4,hóhonìt,A,242.390,243.210,243.950,244.500,0.550,-5.0,0,1,
2,19,8,rékwıì,C,243.920,244.540,246.430,246.920,0.490,-11.4,0,1,
2,20,6,noê,B,249.090,249.900,254.070,254.450,0.380,-12.3,0,1,
2,21,3,hohô,A,256.120,256.640,258.360,258.920,0.560,-13.5,0,1,
2,22,23,e,E,259.840,260.680,262.670,263.170,0.500,-0.4,0,1,
2,23,19,nobêt,D,264.400,264.700,265.870,266.600,0.730,-14.0,0,1,
2,24,12,béuksoè,C,267.810,268.300,269.590,270.320,0.730,-7.8,0,1,
2,25,1,óhò,A,277.820,278.930,280.860,281.440,0.580,-17.1,0,1,
3,1,3,hohô,A,296.570,296.930,297.940,298.590,0.650,-17.1,0,1,interpolated|trimmed 10->4
3,2,10,réıì,C,299.810,300.360,301.260,301.760,0.500,-14.0,0,1,interpolated|trimmed 10->4
3,3,5,nóè,B,302.770,303.520,304.270,304.950,0.680,-9.6,0,1,
3,4,17,ossıî,D,305.780,306.310,308.000,308.860,0.860,-12.8,0,1,
3,5,23,e,E,309.630,310.300,311.780,312.200,0.420,-1.9,0,1,
3,6,20,rhiitsô,D,313.250,313.540,314.800,315.090,0.290,0.0,1122,1,
3,7,22,toś,E,316.380,317.640,318.320,319.060,0.740,-3.3,0,1,slate 1.26s odd
3,8,9,récquıìś,C,320.050,320.750,321.590,322.300,0.710,-16.6,0,1,
3,9,19,nobêt,D,328.430,329.300,331.690,332.440,0.750,-16.5,0,1,
3,10,7,rérèyt,C,333.460,334.090,335.280,335.800,0.520,-12.2,0,1,
3,11,11,béntsıìy,C,337.000,337.490,339.140,339.710,0.570,-14.6,0,1,
3,12,13,béo·ò,C,341.000,341.690,342.820,343.710,0.890,-13.6,0,1,
3,13,12,béuksoè,C,344.610,345.330,346.450,347.010,0.560,-3.7,0,1,
3,14,4,hóhonìt,A,353.160,354.180,356.640,357.340,0.700,-9.6,0,1,
3,15,21,ŕe,E,358.160,358.790,360.080,360.610,0.530,-7.9,0,1,
3,16,14,twıítò,C,361.580,361.960,363.240,363.950,0.710,-11.1,0,1,
3,17,1,óhò,A,364.840,365.700,367.390,368.060,0.670,-12.0,0,1,
3,18,8,rékwıì,C,383.500,384.420,385.380,385.720,0.340,-11.0,0,1,
3,19,18,piquô,D,392.710,393.380,395.000,395.680,0.680,-13.9,0,1,
3,20,24,ŕeut,E,397.010,397.620,398.900,399.660,0.760,-3.8,0,1,interpolated
3,21,16,benıîä,D,400.580,400.970,401.890,402.940,1.050,-15.0,0,1,
3,22,6,noê,B,404.040,404.720,406.110,406.470,0.360,-10.6,0,1,
3,23,15,emmáwwè,D,407.450,407.930,408.950,409.740,0.790,-14.1,0,1,
3,24,25,pot,E,410.590,411.410,412.650,412.990,0.340,0.0,297,1,
3,25,2,ohô,A,414.600,415.120,416.520,417.000,0.480,-17.3,0,1,
4,1,7,rérèyt,C,421.190,422.190,423.550,424.340,0.790,-13.2,0,1,
4,2,9,récquıìś,C,425.320,425.860,427.370,428.020,0.650,-14.0,0,1,
4,3,20,rhiitsô,D,434.870,435.670,437.430,437.810,0.380,-8.5,0,1,
4,4,17,ossıî,D,438.950,439.730,440.680,441.430,0.750,-15.8,0,1,
4,5,10,réıì,C,442.170,442.920,444.460,444.930,0.470,-14.2,0,1,
4,6,2,ohô,A,446.080,446.460,447.870,448.360,0.490,-16.8,0,1,
4,7,15,emmáwwè,D,449.470,450.180,451.210,451.900,0.690,-16.8,0,1,
4,8,16,benıîä,D,452.620,453.430,454.560,455.250,0.690,-15.2,0,1,
4,9,18,piquô,D,456.560,457.260,458.640,459.240,0.600,-12.5,0,1,
4,10,1,óhò,A,460.310,460.740,464.430,465.020,0.590,-10.6,0,1,
4,11,21,ŕe,E,470.400,471.220,472.430,473.060,0.630,-14.9,0,1,interpolated|trimmed 5->2
4,12,12,béuksoè,C,473.930,474.350,475.860,476.310,0.450,-11.3,0,1,
4,13,11,béntsıìy,C,477.600,478.410,480.360,481.050,0.690,-13.7,0,1,
4,14,19,nobêt,D,481.810,482.550,484.400,484.990,0.590,-19.1,0,1,
4,15,22,toś,E,486.000,486.380,487.980,488.770,0.790,-15.4,0,1,
4,16,23,e,E,489.610,490.240,490.970,491.730,0.760,-14.6,0,1,
4,17,5,nóè,B,492.560,492.820,493.610,494.280,0.670,-10.0,0,1,interpolated
4,18,3,hohô,A,495.320,495.940,498.150,498.470,0.320,-15.8,0,1,
4,19,25,pot,E,499.510,500.100,501.190,501.740,0.550,-10.6,0,1,
4,20,6,noê,B,502.770,503.270,504.110,504.680,0.570,-13.0,0,1,
4,21,24,ŕeut,E,513.120,513.570,517.350,518.010,0.660,-14.7,0,1,
4,22,8,rékwıì,C,518.740,519.150,520.110,520.370,0.260,-17.1,0,1,
4,23,14,twıítò,C,532.610,533.390,534.390,535.020,0.630,-10.3,0,1,
4,24,4,hóhonìt,A,537.120,537.530,537.970,538.620,0.650,-11.5,0,1,
4,25,13,béo·ò,C,539.870,540.440,541.610,542.360,0.750,-15.5,0,1,
5,1,5,nóè,B,546.060,547.120,548.430,549.260,0.830,-9.0,0,1,
5,2,23,e,E,550.110,550.600,552.330,552.900,0.570,-17.8,0,1,
5,3,22,toś,E,553.670,553.930,555.130,555.730,0.600,-18.8,0,1,
5,4,19,nobêt,D,556.360,556.870,557.790,558.380,0.590,-18.0,0,1,
5,5,11,béntsıìy,C,559.260,559.650,561.140,561.540,0.400,-13.2,0,1,
5,6,12,béuksoè,C,562.630,563.280,564.240,564.710,0.470,-13.1,0,1,
5,7,21,ŕe,E,566.890,567.830,568.530,569.070,0.540,-14.5,0,1,
5,8,1,óhò,A,568.580,568.970,570.840,571.260,0.420,-19.5,0,1,
5,9,18,piquô,D,576.890,577.680,578.570,579.240,0.670,-19.7,0,1,
5,10,16,benıîä,D,580.320,580.940,582.020,582.660,0.640,-17.3,0,1,
5,11,15,emmáwwè,D,583.320,584.010,585.820,586.440,0.620,-15.0,0,1,
5,12,2,ohô,A,587.040,587.830,588.960,589.620,0.660,-19.5,0,1,
5,13,10,réıì,C,593.300,593.650,594.450,594.920,0.470,-17.2,0,1,
5,14,17,ossıî,D,597.020,597.620,598.710,599.370,0.660,-12.3,0,1,
5,15,20,rhiitsô,D,598.710,599.400,600.970,601.080,0.110,0.0,256,0,word 0.11s out of range
5,16,9,récquıìś,C,602.370,603.400,604.430,605.130,0.700,-13.9,0,1,
5,17,7,rérèyt,C,606.410,607.150,608.530,609.020,0.490,-14.8,0,1,
5,18,13,béo·ò,C,610.620,611.060,612.490,613.020,0.530,-17.8,0,1,
5,19,4,hóhonìt,A,614.130,614.900,615.820,616.880,1.060,-14.9,0,1,
5,20,14,twıítò,C,617.510,618.100,619.380,620.130,0.750,-15.3,0,1,
5,21,8,rékwıì,C,621.370,622.170,623.050,623.440,0.390,-15.4,0,1,
5,22,24,ŕeut,E,633.310,633.790,635.480,636.130,0.650,-11.5,0,1,interpolated|trimmed 12->8
5,23,6,noê,B,637.210,637.660,638.660,639.170,0.510,-15.1,0,1,interpolated|trimmed 12->8
5,24,25,pot,E,640.520,641.210,641.830,643.170,1.340,-30.4,0,1,interpolated|trimmed 12->8
5,25,3,hohô,A,650.390,651.080,652.100,652.360,0.260,-27.4,0,1,interpolated|trimmed 12->8|anchor: no word utterance after slate
