block,position,item_id,headword,frame,slate_t0,slate_t1,word_t0,word_t1,dur,peak_dbfs,clipped_samples,usable,note
2,7,24,ŕeut,E,188.080,189.080,190.010,190.420,0.410,-9.8,0,1,
2,8,25,pot,E,192.200,193.220,193.940,194.300,0.360,-4.9,0,1,
2,9,5,nóè,B,195.500,196.450,197.600,198.270,0.670,-9.9,0,1,
2,10,22,toś,E,205.010,205.740,209.910,210.730,0.820,-15.5,0,1,resplit
2,12,21,ŕe,E,212.830,213.450,214.090,214.710,0.620,-10.8,0,1,
2,13,18,piquô,D,215.980,216.560,217.510,218.250,0.740,-10.8,0,1,
2,17,7,rérèyt,C,239.180,239.700,241.270,242.050,0.780,-11.4,0,1,interpolated|trimmed 10->6
2,18,4,hóhonìt,A,242.390,243.210,243.950,244.500,0.550,-5.0,0,1,interpolated|trimmed 10->6|anchor: no word utterance after slate
2,19,8,rékwıì,C,246.370,246.920,249.420,249.810,0.390,-5.8,0,1,
2,20,6,noê,B,254.070,254.330,256.120,256.760,0.640,-11.6,0,1,interpolated|anchor: digit 3.7s past anchor
2,21,3,hohô,A,258.470,258.920,259.880,260.670,0.790,-11.3,0,1,
2,24,12,béuksoè,C,269.530,270.340,271.670,272.860,1.190,-12.7,0,1,
2,25,1,óhò,A,280.960,281.330,282.560,283.330,0.770,-6.9,0,1,
3,1,3,hohô,A,296.570,296.930,297.940,298.590,0.650,-17.1,0,1,interpolated|trimmed 9->4
3,2,10,réıì,C,299.810,300.360,301.260,301.760,0.500,-14.0,0,1,interpolated|trimmed 9->4
3,4,17,ossıî,D,308.010,308.860,309.660,310.220,0.560,-3.9,0,1,
3,9,19,nobêt,D,331.690,332.440,333.460,334.110,0.650,-16.2,0,1,
3,10,7,rérèyt,C,335.280,335.730,336.990,337.490,0.500,-14.2,0,1,
3,11,11,béntsıìy,C,339.140,339.640,341.000,341.800,0.800,-16.9,0,1,
3,12,13,béo·ò,C,342.940,343.590,344.610,345.420,0.810,-16.9,0,1,
3,13,12,béuksoè,C,345.630,347.220,348.310,349.140,0.830,-11.2,0,1,slate 1.59s odd
3,14,4,hóhonìt,A,356.690,357.390,358.210,358.700,0.490,-2.2,0,1,
3,15,21,ŕe,E,360.010,360.810,361.570,362.080,0.510,-12.7,0,1,
3,16,14,twıítò,C,363.240,363.950,364.910,365.650,0.740,-6.4,0,1,
3,17,1,óhò,A,367.390,367.950,369.480,370.150,0.670,-9.3,0,1,
3,18,8,rékwıì,C,385.500,385.720,387.190,388.120,0.930,-13.8,0,1,
3,19,18,piquô,D,395.000,395.580,397.010,397.740,0.730,-9.1,0,1,
3,20,24,ŕeut,E,398.780,399.740,400.570,401.020,0.450,-13.7,0,1,interpolated
3,21,16,benıîä,D,401.860,402.940,404.030,404.840,0.810,-15.0,0,1,
3,22,6,noê,B,406.100,406.350,407.470,407.930,0.460,-12.4,0,1,
3,23,15,emmáwwè,D,409.050,409.770,410.610,411.390,0.780,-7.2,0,1,
3,24,25,pot,E,412.610,413.500,414.600,415.060,0.460,-12.5,0,1,
3,25,2,ohô,A,416.520,416.880,417.760,418.450,0.690,-10.1,0,1,
4,3,20,rhiitsô,D,437.430,437.970,438.890,439.680,0.790,-14.1,0,1,
4,4,17,ossıî,D,440.790,441.430,442.170,442.920,0.750,-17.5,0,1,
4,5,10,réıì,C,444.460,444.810,446.080,446.580,0.500,-17.0,0,1,
4,6,2,ohô,A,447.870,448.360,449.470,450.110,0.640,-7.5,0,1,
4,7,15,emmáwwè,D,451.210,451.790,452.620,453.420,0.800,-12.2,0,1,
4,8,16,benıîä,D,454.560,455.180,456.560,457.250,0.690,-16.0,0,1,
4,9,18,piquô,D,458.640,459.120,460.310,460.860,0.550,-10.5,0,1,
4,10,1,óhò,A,469.060,469.460,470.410,471.080,0.670,-0.7,0,1,interpolated|trimmed 7->4|anchor: digit 3.1s past anchor
4,11,21,ŕe,E,472.420,473.090,473.930,474.430,0.500,-12.5,0,1,interpolated|trimmed 7->4
4,12,12,béuksoè,C,475.860,476.500,477.600,478.530,0.930,-8.8,0,1,
4,13,11,béntsıìy,C,480.320,480.930,481.820,482.520,0.700,-9.8,0,1,
4,14,19,nobêt,D,484.400,484.980,485.990,486.490,0.500,-15.3,0,1,
4,15,22,toś,E,488.100,488.690,489.670,490.140,0.470,-1.7,0,1,
4,16,23,e,E,490.970,491.610,492.550,492.890,0.340,-14.9,0,1,
4,17,5,nóè,B,493.600,494.210,495.320,496.020,0.700,-12.7,0,1,interpolated
4,18,3,hohô,A,498.150,498.480,499.510,500.100,0.590,-11.9,0,1,
4,19,25,pot,E,501.190,501.830,502.780,503.260,0.480,-11.4,0,1,
4,20,6,noê,B,504.110,504.560,508.550,509.060,0.510,-13.7,0,1,
4,21,24,ŕeut,E,517.350,518.010,518.730,519.150,0.420,-11.4,0,1,interpolated|trimmed 5->2|anchor: digit 3.5s past anchor
4,22,8,rékwıì,C,520.200,520.700,522.400,522.990,0.590,-9.8,0,1,
4,23,14,twıítò,C,532.610,533.390,534.390,535.020,0.630,-10.3,0,1,
4,24,4,hóhonìt,A,537.120,537.530,537.970,538.620,0.650,-11.5,0,1,
4,25,13,béo·ò,C,539.870,540.440,541.610,542.360,0.750,-15.5,0,1,
5,2,23,e,E,552.330,552.900,553.620,554.000,0.380,-16.6,0,1,
5,3,22,toś,E,555.230,555.790,556.360,556.870,0.510,-11.0,0,1,
5,4,19,nobêt,D,557.790,558.360,559.160,559.730,0.570,-16.8,0,1,
5,5,11,béntsıìy,C,561.100,561.540,562.580,563.280,0.700,-16.5,0,1,
5,6,12,béuksoè,C,564.240,564.590,565.470,566.290,0.820,-15.3,0,1,
5,7,21,ŕe,E,566.890,567.830,568.530,569.070,0.540,-14.5,0,1,
5,8,1,óhò,A,570.840,571.150,571.790,572.480,0.690,-4.6,0,1,
5,9,18,piquô,D,578.650,579.200,580.200,580.930,0.730,-11.9,0,1,
5,10,16,benıîä,D,582.030,582.630,583.230,584.100,0.870,-19.6,0,1,
5,11,15,emmáwwè,D,585.810,586.360,587.040,587.830,0.790,-14.3,0,1,
5,12,2,ohô,A,589.050,589.610,590.730,591.310,0.580,-4.5,0,1,
5,13,10,réıì,C,593.300,593.650,594.450,594.920,0.470,-17.2,0,1,
5,14,17,ossıî,D,597.020,597.620,598.710,599.370,0.660,-12.3,0,1,interpolated|trimmed 3->2|anchor: no word utterance after slate
5,15,20,rhiitsô,D,600.820,601.230,602.370,603.390,1.020,-10.9,0,1,
5,16,9,récquıìś,C,604.430,605.150,606.410,607.150,0.740,-13.9,0,1,
5,17,7,rérèyt,C,608.600,609.020,610.580,611.180,0.600,-16.8,0,1,
5,18,13,béo·ò,C,612.520,613.020,614.170,614.900,0.730,-14.7,0,1,
5,19,4,hóhonìt,A,615.900,616.880,617.520,618.040,0.520,-10.7,0,1,
5,20,14,twıítò,C,619.360,620.010,621.370,621.870,0.500,-9.3,0,1,
5,21,8,rékwıì,C,623.110,623.320,624.880,625.510,0.630,-10.8,0,1,
5,24,25,pot,E,640.520,641.210,641.830,643.170,1.340,-30.4,0,1,interpolated|trimmed 11->8
5,25,3,hohô,A,650.390,651.080,652.100,652.360,0.260,-27.4,0,1,interpolated|trimmed 11->8|anchor: digit 5.7s past anchor
